"scientificName" "plot_id" "year" "occurrenceStatus" "decimalLatitude" "decimalLongitude"
"Cladonia portentosa" 21 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 21 1998 "PRESENT" 57.116344 -3.829717
"Pinus sylvestris" 21 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 21 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 22 1998 "PRESENT" 57.116344 -3.829717
"Empetrum nigrum subsp. nigrum" 22 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 22 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium vitis-idaea" 22 1998 "PRESENT" 57.116344 -3.829717
"Dicranum scoparium" 22 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 22 1998 "PRESENT" 57.116344 -3.829717
"Ptilium crista-castrensis" 22 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 22 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum capillifolium" 22 1998 "PRESENT" 57.116344 -3.829717
"Plagiothecium" 22 1998 "PRESENT" 57.116344 -3.829717
"Agrostis capillaris" 23 1998 "PRESENT" 57.116344 -3.829717
"Blechnum spicant" 23 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 23 1998 "PRESENT" 57.116344 -3.829717
"Carex dioica" 23 1998 "PRESENT" 57.116344 -3.829717
"Carex panicea" 23 1998 "PRESENT" 57.116344 -3.829717
"Carex pilulifera" 23 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 23 1998 "PRESENT" 57.116344 -3.829717
"Festuca ovina" 23 1998 "PRESENT" 57.116344 -3.829717
"Galium saxatile" 23 1998 "PRESENT" 57.116344 -3.829717
"Juncus squarrosus" 23 1998 "PRESENT" 57.116344 -3.829717
"Molinia caerulea" 23 1998 "PRESENT" 57.116344 -3.829717
"Potentilla erecta" 23 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 23 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium vitis-idaea" 23 1998 "PRESENT" 57.116344 -3.829717
"Veronica fruticans" 23 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 23 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 23 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 23 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus squarrosus" 23 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus triquetrus" 23 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum cuspidatum" 23 1998 "PRESENT" 57.116344 -3.829717
"Thuidium tamariscinum" 23 1998 "PRESENT" 57.116344 -3.829717
"Pinus sylvestris" 23 1998 "PRESENT" 57.116344 -3.829717
"Polytrichum" 23 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 25 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 25 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 25 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 25 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 25 1998 "PRESENT" 57.116344 -3.829717
"Molinia caerulea" 25 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 25 1998 "PRESENT" 57.116344 -3.829717
"Racomitrium lanuginosum" 25 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 25 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 25 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 25 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 25 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 26 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 26 1998 "PRESENT" 57.116344 -3.829717
"Empetrum nigrum subsp. nigrum" 26 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 26 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 26 1998 "PRESENT" 57.116344 -3.829717
"Genista anglica" 26 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 26 1998 "PRESENT" 57.116344 -3.829717
"Racomitrium lanuginosum" 26 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 26 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 26 1998 "PRESENT" 57.116344 -3.829717
"Cladonia squamosa" 26 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 26 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 26 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 27 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 27 1998 "PRESENT" 57.116344 -3.829717
"Empetrum nigrum subsp. nigrum" 27 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 27 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 27 1998 "PRESENT" 57.116344 -3.829717
"Cladonia coccifera" 27 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 27 1998 "PRESENT" 57.116344 -3.829717
"Cladonia pyxidata" 27 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 27 1998 "PRESENT" 57.116344 -3.829717
"Sphaerophorus globosus" 27 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 27 1998 "PRESENT" 57.116344 -3.829717
"Pellia" 27 1998 "PRESENT" 57.116344 -3.829717
