Field name	Latin name	BRC concept	Name in BRC database
2241	Porella platyphylla	Bry_885	Porella platyphylla
1037	Potamogeton polygonifolius	Vas_1576	Potamogeton polygonifolius
1043	Potentilla anserina	Vas_1584	Potentilla anserina
1046	Potentilla erecta	Vas_1588	Potentilla erecta
1049	Potentilla palustris	Vas_1592	Potentilla palustris
1050	Potentilla reptans	Vas_1594	Potentilla reptans
1051	Potentilla sterilis	Vas_1596	Potentilla sterilis
1908	Pottia truncata	Bry_501	Tortula truncata
2243	Preissia quadrata	Bry_887	Preissia quadrata
1054	Primula farinosa	Vas_1603	Primula farinosa
1056	Primula veris	Vas_1605	Primula veris
1058	Primula vulgaris	Vas_1607	Primula vulgaris
1059	Prunella vulgaris	Vas_1610	Prunella vulgaris
1060	Prunus avium (c)	Vas_1611	Prunus avium
2622	Prunus avium (g)	Vas_1611	Prunus avium
2621	Prunus avium (s)	Vas_1611	Prunus avium
1063	Prunus laurocerasus	Vas_1615	Prunus laurocerasus
2752	Prunus padus (c)	Vas_1616	Prunus padus
2623	Prunus padus (g)	Vas_1616	Prunus padus
1064	Prunus padus (s)	Vas_1616	Prunus padus
6030	Prunus serotina	Vas_4450	Prunus serotina
4392	Prunus sp	Vas_4552	Prunus
2936	Prunus spinosa (c)	Vas_1617	Prunus spinosa
2624	Prunus spinosa (g)	Vas_1617	Prunus spinosa
1065	Prunus spinosa (s)	Vas_1617	Prunus spinosa
2324	Pseudephebe pubescens	Fun_9293	Pseudephebe pubescens
2698	Pseudevernia furfuracea	Fun_8948	Pseudevernia furfuracea
1914	Pseudoscleropodium purum	Bry_507	Pseudoscleropodium purum
2937	Pseudotsuga menziesii (c)	Vas_1618	Pseudotsuga menziesii
3214	Pseudotsuga menziesii (g)	Vas_1618	Pseudotsuga menziesii
1066	Pteridium aquilinum	Vas_1619	Pteridium aquilinum
2244	Ptilidium ciliare	Bry_888	Ptilidium ciliare
1919	Ptilium crista-castrensis	Bry_512	Ptilium crista-castrensis
1069	Pulicaria dysenterica	Vas_1625	Pulicaria dysenterica
1075	Quercus cerris (c)	Vas_1635	Quercus cerris
