"speciesKey","count","common_name","sci_name"
"2487883",145,"Crested Tit / European Crested-Tit","Lophophanes cristatus"
"2875979",145,"Common filbert","Corylus avellana"
"2951984",145,"Common gorse","Ulex europaeus"
"4889932",145,"eight-petal mountain-avens","Dryas octopetala"
"4921778",145,"common large wetland moss","Calliergonella cuspidata"
"5384738",143,"Meadow Campion","Silene flos-cuculi"
"6221746",143,"Dark Green Fritillary","Speyeria aglaja"
"1428345",142,"common darter","Sympetrum striolatum"
"3032585",142,"grass-of-parnassus","Parnassia palustris"
"1340308",141,"Heath Humble-bee","Bombus jonellus"
"2650818",141,"Brittle Bladder Fern","Cystopteris fragilis"
"5341184",141,"Forget-Me-Not","Myosotis scorpioides"
"2704951",140,"Ovina","Festuca ovina"
"5261338",140,"Globe Ball Lichen","Sphaerophorus globosus"
"11071158",140,"Addersmeat","Rabelera holostea"
"7601217",139,"Alpine azalea","Kalmia procumbens"
"10474267",139,"NA","Nephromopsis chlorophylla"
"2726592",138,"Pale Sedge","Carex pallescens"
"3128225",138,"Black Knapweed","Centaurea nigra"
"2601171",137,"NA","Peltigera britannica"
"2608944",137,"Fringed Rosette Lichen","Physcia tenella"
"4481359",137,"NA","Rhithrogena semicolorata"
"3172072",135,"Grass-Leaf Speedwell","Veronica scutellata"
"5282688",135,"Horn Calcareous Moss","Mnium hornum"
"2687942",134,"Meadow Horsetail","Equisetum pratense"
"2728174",134,"Creeping Sedge","Carex chordorrhiza"
"2889011",134,"Bitter Dock","Rumex obtusifolius"
"5147681",134,"Brindled Beauty","Lycia hirtaria"
"5149499",134,"Grey Mountain Carpet","Entephria caesiata"
"12153620",134,"Common Blue","Polyommatus icarus"
"2673408",133,"Antifever Fontinalis Moss","Fontinalis antipyretica"
"2975287",133,"Bird Vetch","Vicia cracca"
"3032783",133,"alpine brook saxifrage","Saxifraga rivularis"
"4533671",133,"Autumnal Rustic","Eugnorisma glareosa"
"7421154",133,"NA","Erythricium aurantiacum"
"2601180",132,"Powdery Kidney Lichen","Nephroma parile"
"2605852",132,"Antler Lichen","Pseudevernia furfuracea"
"3046076",132,"Common Bittercress","Cardamine flexuosa"
"8285827",132,"Oval Sedge","Carex leporina"
"2498326",131,"Common Goldeneye","Bucephala clangula"
"2601169",131,"Membranous Pelt Lichen","Peltigera membranacea"
"2676867",131,"Common Green Bryum Moss","Bryum pseudotriquetrum"
"5414335",131,"primrose","Primula vulgaris"
"6364299",130,"mountain chickweed","Cerastium cerastoides"
"2437760",129,"wood mouse","Apodemus sylvaticus"
"5753612",129,"Snail Hunter","Cychrus caraboides"
"2605275",127,"Spiny Heath Lichen","Cetraria aculeata"
"2689212",127,"Tumid Notchwort","Lophozia ventricosa"
"2481800",126,"Common Sandpiper","Actitis hypoleucos"
"2601313",126,"NA","Psoroma hypnorum"
"2669053",126,"Lustrous Bog-Moss","Sphagnum subnitens"
"2810246",126,"Northern Marsh-orchid","Dactylorhiza purpurella"
"2702361",125,"Floating Bur-Reed","Sparganium angustifolium"
"5356701",125,"Meadow Pea","Lathyrus pratensis"
"7702019",125,"yellow pimpernel","Lysimachia nemorum"
"10375240",125,"NA","Nephromopsis nivalis"
"1919712",124,"Orange-tip","Anthocharis cardamines"
"2607624",124,"Stump Lichen","Cladonia botrytes"
"5283962",124,"black rock moss","Andreaea rupestris"
"7924597",124,"Common Horsetail","Equisetum arvense"
"2605963",123,"Hammered Shield Lichen","Parmelia sulcata"
"2650716",123,"Green Spleenwort","Asplenium viride"
"8336798",123,"Greater Fork-moss","Dicranum majus"
"2674289",122,"obtuse-leaved rock moss","Racomitrium aciculare"
"4481911",121,"NA","Ecclisopteryx dalecarlica"
"5281511",121,"Toothedleaf Nitrogen Moss","Tetraplodon angustatus"
"10874213",121,"NA","Polyozosia populicola"
"2882437",120,"European White Waterlily","Nymphaea alba"
"2494422",118,"Common Chaffinch","Fringilla coelebs"
"5290149",118,"Common Reed","Phragmites australis"
"2914396",117,"Limestone Bedstraw","Galium sterneri"
"5227679",117,"Rock Ptarmigan","Lagopus muta"
"7653258",117,"Floerke'S Barbilophozia","Neoorthocaulis floerkei"
"2701939",116,"three-flower rush","Juncus triglumis"
"3085444",116,"arctic chickweed","Cerastium arcticum"
"5275132",116,"Male Fern","Dryopteris filix-mas"
"2601162",115,"Scaly Dog-Lichen","Peltigera praetextata"
"2606030",115,"Bristly Beard Lichen","Usnea hirta"
"7475082",115,"NA","Peltigera hymenina"
"2669113",114,"shaggy peat moss","Sphagnum squarrosum"
"5281510",114,"Entireleaf Nitrogen Moss","Tetraplodon mnioides"
"5289756",114,"Gardener'S-Garters","Phalaris arundinacea"
"5384604",114,"Chickweed","Stellaria media"
"7865305",114,"Ring Ouzel","Turdus torquatus"
"1898286",113,"Red Admiral","Vanessa atalanta"
"2689264",113,"Notched Rustwort","Marsupella emarginata"
"4149465",113,"Wavy Hair-Grass","Avenella flexuosa"
"8915858",113,"golden-scale male fern","Dryopteris affinis"
"2674329",111,"clustered rock moss","Racomitrium fasciculare"
"5217160",111,"Common toad","Bufo bufo"
"2605955",110,"Salted Shield Lichen","Parmelia saxatilis"
"2669139",110,"five-ranked peat moss","Sphagnum quinquefarium"
"2670176",110,"Acute Blindia Moss","Blindia acuta"
"2700828",110,"Field Wood-Rush","Luzula campestris"
"8397404",110,"Marsh Forklet-moss","Dichodontium palustre"
"1581812",109,"Snipefly","Rhagio scolopacea"
"2890668",109,"Herb-Robert","Geranium robertianum"
"3189068",109,"pimpernel willowherb","Epilobium anagallidifolium"
"3291564",109,"Meadow Waxcap","Cuphophyllus pratensis"
"3085450",108,"Alpine Chickweed","Cerastium alpinum"
"6413649",108,"Toad Rush","Juncus bufonius"
"9364935",108,"Spotted gazelle beetle","Notiophilus biguttatus"
"2600423",107,"Yellow Map Lichen","Rhizocarpon geographicum"
"2605261",107,"Oak Moss","Evernia prunastri"
"2608759",107,"NA","Megalaria grossa"
"8215487",107,"Amu-Darya Trout","Salmo trutta"
"8272844",107,"European Starflower","Lysimachia europaea"
"1340362",106,"Gipsy Cuckoo-bee","Bombus bohemicus"
"2669112",106,"Toothed Sphagnum","Sphagnum cuspidatum"
"2689507",106,"Taylor s flapwort","Mylia taylorii"
"4107552",106,"alpine foxtail","Alopecurus magellanicus"
"10704652",106,"Bloody-Heart Lichen","Mycoblastus sanguinarius"
